APOGEE_ID,GLON,GLAT,RA,DEC,VHELIO_AVG,LOGG,TEFF,PMRA,PMDEC,AL_H,NA_H,O_H,MG_H,C_H,N_H,V_H,TI_H,CA_H,FE_H,K_H,MN_H,NI_H,SI_H,S_H,SNR,cluster_name,label
2M11312749+0408561,259.71734242,60.1279787602,172.864556199,4.14894202502,1.52072000504,3.64422863917,5521.92678583,-23.8999996185,1.79999995232,-0.649148700455,-0.36014285287,-0.594210194234,-0.505223596295,-0.329540854365,-0.795833285934,-0.430754867332,-0.747705884084,-0.644470698123,-0.677265316413,-0.695213808903,-0.585724432296,-0.676853961043,-0.508244686772,-0.314033061537,297.555999756,background,-1
2M11405370-1434004,278.465494938,44.927545322,175.22376,-14.566793,302.247009277,2.05879089035,4680.21402671,-18.2000007629,-7.19999980927,-1.35082764051,-1.73665082054,-0.951891573582,-1.04462130723,-1.34886692878,-1.13061205576,-1.54227074883,-1.17988951622,-1.08974444939,-1.229968906,-1.29031859807,-1.37530471604,-1.29173145375,-0.915271616281,-0.851576844581,65.9260025024,background,-1
2M11412735-1409456,278.42540653,45.3529298464,175.363978053,-14.1626874473,-3.14756989479,3.84617051425,5555.54894603,-31.2999992371,8.19999980927,-0.694338357648,-0.380653684801,-0.593531787795,-0.489390319904,-0.304667624657,-0.801853179456,-0.298192616999,-0.656141859088,-0.644486484096,-0.700105595952,-0.738861843653,-0.56757111921,-0.627541269409,-0.600362388445,-0.380101062093,227.544006348,background,-1
2M11421711-0111342,269.719249638,57.1510197123,175.571325263,-1.19284503056,51.5871009827,3.81498325361,5330.18342737,-113.5,0.10000000149,-0.0848240734308,-0.0167831014921,-0.112724905034,-0.0340905465831,-0.0915842567152,-0.609830103231,-0.00905871916393,-0.290025838693,-0.202433417048,-0.220816059943,-0.33734566237,-0.230212721027,-0.245295330972,0.0124677171627,0.0560295503865,338.821014404,background,-1
2M11422542+5452488,142.597872955,59.5343642415,175.605949,54.880249,16.9944992065,3.55883495817,5314.2186502,-14.0,30.0,-1.60417286565,-1.05848766734,-1.1585990996,-0.857700865302,-0.940902821383,-1.56769058083,-1.5649632588,-1.23781800998,-1.08700392418,-1.29416257969,-1.25276271376,-1.33504783404,-1.35898694859,-1.17180788279,-1.07439550637,258.381988525,background,-1
2M11432311+0129405,267.603594815,59.6146740771,175.846326,1.494597,272.242004395,1.79567443225,4441.61032943,0.0,0.0,-0.98689850087,-1.64258249888,-0.726879354701,-0.89373488635,-1.13180993197,-0.997411881049,-1.37356833308,-0.996585204849,-0.837571763058,-0.974650537319,-1.02449171491,-1.14263085913,-1.04321917433,-0.627194413215,-0.639053917314,219.757995605,background,-1
2M11435110+3427175,181.975178572,73.7716569334,175.962922,34.454884,8.32127952576,1.93866323243,4678.90049045,-11.3000001907,0.899999976158,-1.54918049496,-1.02641077804,-1.08508816071,-1.23876372288,-1.59369830662,-1.24780901626,-1.71061484512,-1.36349930889,-1.2189047699,-1.38887332969,-1.29610754165,-1.47851112972,-1.44854584167,-1.05329075637,-1.00739192911,210.764007568,background,-1
2M11442519+0152029,267.662989254,60.0674503773,176.104975,1.867499,-19.0153999329,4.02589882134,5013.92399895,-16.0,12.0,-0.240180108144,-0.0933180829466,-0.281056501631,-0.189144782831,-0.255857148909,-0.774695469653,-0.41753290589,-0.46931822519,-0.4185244399,-0.401840715091,-0.497713504231,-0.390776920219,-0.439337683415,-0.324912313197,-0.349863353854,102.846000671,background,-1
2M11444633+0140296,268.011534004,59.9470699515,176.193064,1.674894,146.458999634,3.39038353392,4996.25973503,-11.0,-5.40000009537,-0.299124435492,-0.411366224761,-0.320648954962,-0.29878971034,-0.422245741336,-0.797309280725,-0.513706631452,-0.510689253927,-0.508903211725,-0.597748680384,-0.491591227276,-0.671954418455,-0.643695172658,-0.299522942451,-0.235329357167,74.3151016235,background,-1
2M11445876-0048558,270.477575143,57.8065084851,176.244839444,-0.815515998205,-24.9412002563,3.72099361565,5302.45936058,-202.5,62.5999984741,-0.551412218436,-0.314014003035,-0.491711055256,-0.393178873554,-0.408066496124,-1.01894559209,-0.455878307996,-0.699028369072,-0.603736685975,-0.696962497417,-0.575448092418,-0.678212601618,-0.674222103494,-0.416147710031,-0.233465437696,841.094970703,background,-1
2M11462270+2702072,209.575203194,75.5282695079,176.594592,27.035355,3.83596992493,1.86693268136,3994.28301547,-13.0,-44.7000007629,-1.20517223364,-1.23817801995,-1.0016519359,-1.15216755867,-1.35531018942,-1.30860344151,-2.41591976966,-1.4069650878,-1.01184296885,-1.38355836652,-1.26877898103,-1.71693924461,-1.44910546619,-1.10677260304,-0.941465169457,138.479995728,background,-1
2M11470859-0033199,271.14558664,58.2915204502,176.785818,-0.55555,25.1776008606,4.0339466798,5121.2941402,-16.6000003815,3.5,-0.0105191910481,-0.962818551522,-0.135740571592,0.0342805204893,-0.103400946596,-0.278144324288,0.828499123902,-0.00931137639367,-0.0603456684016,-0.131683230472,-0.522079753611,-0.0715402988816,-0.197428166386,-0.0152006069698,0.221510719725,98.0597000122,background,-1
2M11473745+0051164,270.049464128,59.5889009037,176.906071,0.854566,-9.38027954102,1.76960428755,4061.71868183,-48.0,12.0,-1.41033917566,-1.4287126363,-1.09758376568,-1.23700130264,-1.47404738461,-1.32733845703,-2.33830985534,-1.43507760263,-1.02045530598,-1.4652997066,-1.2591357456,-1.76318563171,-1.56653055168,-1.19695027358,-0.874073329097,141.841995239,background,-1
2M11480244+0128456,269.625487146,60.1855267419,177.010192,1.479361,72.5563964844,2.09054920926,4622.69325274,-15.8000001907,-6.69999980927,-0.40016140321,-0.982419007221,-0.437020074352,-0.571869066353,-0.64204447869,-0.694772034478,-0.656671397337,-0.695640019831,-0.646048013353,-0.727210611063,-0.619819841591,-0.873277320515,-0.698527513668,-0.296014752355,-0.365117402348,450.149993896,background,-1
2M11483081-1101460,279.051069802,48.9026259526,177.128379,-11.029458,-17.6364002228,3.89477137711,4766.32532872,-3.5,-168.100006104,0.0725615481404,0.0547475636657,0.026732227139,0.0458271274659,-0.0864030474136,-0.261423524094,-0.0318666677368,-0.161541544015,-0.144334369454,-0.188123736031,-0.231267195295,-0.169098402621,-0.268054133258,-0.103663923259,0.0529857652231,497.157989502,background,-1
